Row	dataset	instruments_on_platform_attributed_to
146	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_navoceano_l3_18km_mcsst_daytime	3
147	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_navoceano_l3_18km_mcsst_nighttime	3
148	http://data.globalchange.gov/dataset/nasa-podaac-remss-l4hrfnd-glob-mw_ir_rt_oi	3
149	http://data.globalchange.gov/dataset/nasa-ornldaac-77	3
150	http://data.globalchange.gov/dataset/nasa-ornldaac-829	3
151	http://data.globalchange.gov/dataset/nasa-ornldaac-843	3
152	http://data.globalchange.gov/dataset/nsidc-g02202	3
153	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0338	3
154	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0562	3
155	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0218	3
156	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0622	3
157	http://data.globalchange.gov/dataset/nasa-podaac-goes_l3_sst_6km_nrt_sst_24hour	3
158	http://data.globalchange.gov/dataset/nasa-podaac-topex_gcp	3
159	http://data.globalchange.gov/dataset/nasa-podaac-topex-gdr	3
160	http://data.globalchange.gov/dataset/nasa-podaac-topex_l2_ost_mgdr_crossover	3
161	http://data.globalchange.gov/dataset/nasa-ornldaac-606	3
162	http://data.globalchange.gov/dataset/nasa-ornldaac-626	3
163	http://data.globalchange.gov/dataset/nasa-ornldaac-627	3
164	http://data.globalchange.gov/dataset/nasa-ornldaac-628	3
165	http://data.globalchange.gov/dataset/nasa-ornldaac-678	3
166	http://data.globalchange.gov/dataset/nasa-ornldaac-821	3
167	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0080	3
168	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0200	3
169	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0563	3
170	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0534	3
171	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0564	3
172	http://data.globalchange.gov/dataset/nasa-podaac-remo_oi_sst_5km-ufrj-l4-samerica-v1-0	3
173	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l2_sss_cap_v3	2
174	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smi_3month_v3	2
175	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smi_7day_v3	2
176	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smia_7day_v3	2
177	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smia_daily_v3	2
178	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smi_annual_v3	2
179	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smid_7day_v3	2
180	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smi_daily_v3	2
181	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smid_monthly_v3	2
182	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_sm_smi_monthly_v3	2
183	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_cap_monthly_v3	2
184	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_raincorrected_cap_monthly_v3	2
185	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_7day_v3	2
186	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_7day_v3	2
187	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_daily_v3	2
188	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_annual_v3	2
189	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_7day_v3	2
190	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_annual_v3	2
191	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_monthly_v3	2
192	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_sm_smia_monthly_v3	2
193	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_sm_smi_monthly_v3	2
194	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_gdr_ssha_netcdf	2
195	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_gdr_d	2
196	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_igdr_ssha	2
197	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_ogdr_ssha	2
198	http://data.globalchange.gov/dataset/nasa-podaac-topex_ssha_v2	2
199	http://data.globalchange.gov/dataset/nasa-ornldaac-1184	2
200	http://data.globalchange.gov/dataset/nasa-ornldaac-1098	2
201	http://data.globalchange.gov/dataset/nasa-ornldaac-1140	2
202	http://data.globalchange.gov/dataset/nasa-ornldaac-1158	2
203	http://data.globalchange.gov/dataset/nasa-ornldaac-1180	2
204	http://data.globalchange.gov/dataset/nasa-ornldaac-599	2
205	http://data.globalchange.gov/dataset/nasa-ornldaac-815	2
206	http://data.globalchange.gov/dataset/nasa-ornldaac-816	2
207	http://data.globalchange.gov/dataset/nasa-ornldaac-852	2
208	http://data.globalchange.gov/dataset/nasa-ornldaac-928	2
209	http://data.globalchange.gov/dataset/nasa-ornldaac-930	2
210	http://data.globalchange.gov/dataset/nasa-ornldaac-960	2
211	http://data.globalchange.gov/dataset/nasa-ornldaac-966	2
212	http://data.globalchange.gov/dataset/nasa-ornldaac-968	2
213	http://data.globalchange.gov/dataset/nasa-ornldaac-972	2
214	http://data.globalchange.gov/dataset/nasa-podaac-topex_altsdr	2
215	http://data.globalchange.gov/dataset/nsidc-0593	2
216	http://data.globalchange.gov/dataset/nsidc-0280	2
217	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0484	2
218	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0184	2
219	http://data.globalchange.gov/dataset/nsidc-0489	2
220	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0369	2
221	http://data.globalchange.gov/dataset/nasa-nsidcdaac-nise1	2
222	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l2_sss_v4	2
223	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_monthly_v4	2
224	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_seasonal-climatology_v4	2
225	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_monthly_v4	2
226	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_density_smi_monthly_v4	2
227	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_3month_v4	2
228	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_density_smi_3month_v4	2
229	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_density_smi_annual_v4	2
230	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_7day-runningmean_v4	2
231	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_annual_v4	2
232	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_density_smi_28day-runningmean_v4	2
233	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_sm_smid_monthly_v4	2
234	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_density_smi_7day_v4	2
235	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_monthly_v4	2
236	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_seasonal-climatology_v4	2
237	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_cumulative_v4	2
238	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_cumulative_v4	2
239	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l2_sss_v3	2
240	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smid_annual_v3	2
241	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smi_monthly_v3	2
242	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_sm_smid_monthly_v3	2
243	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_cap_7day_v3	2
244	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_raincorrected_cap_7day_v3	2
245	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_3month_v3	2
246	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_3month_v3	2
247	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_annual_v3	2
248	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_3month_v3	2
249	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_daily_v3	2
250	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smid_daily_v3	2
251	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smi_monthly_v3	2
252	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_sm_smid_monthly_v3	2
253	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_wind_speed_cap_7day_v3	2
254	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_ad	2
255	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_td	2
256	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_igdr	2
257	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_ogdr	2
258	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_sgdr_d	2
259	http://data.globalchange.gov/dataset/nasa-podaac-topex-altsdr	2
260	http://data.globalchange.gov/dataset/nasa-ornldaac-1191	2
261	http://data.globalchange.gov/dataset/nasa-ornldaac-1157	2
262	http://data.globalchange.gov/dataset/nasa-ornldaac-595	2
263	http://data.globalchange.gov/dataset/nasa-ornldaac-707	2
264	http://data.globalchange.gov/dataset/nasa-ornldaac-958	2
265	http://data.globalchange.gov/dataset/nasa-ornldaac-959	2
266	http://data.globalchange.gov/dataset/nasa-ornldaac-961	2
267	http://data.globalchange.gov/dataset/nasa-ornldaac-967	2
268	http://data.globalchange.gov/dataset/nasa-ornldaac-969	2
269	http://data.globalchange.gov/dataset/nasa-ornldaac-971	2
270	http://data.globalchange.gov/dataset/nasa-ornldaac-973	2
271	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0189	2
272	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smia_3month_v3	2
273	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smia_annual_v3	2
274	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smia_monthly_v3	2
275	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smid_3month_v3	2
276	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_smid_daily_v3	2
277	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_biasadj_sm_smia_monthly_v3	2
278	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_sss_smia_monthly_v3	2
279	http://data.globalchange.gov/dataset/nasa-podaac-cryosat2_l2_ost_igdr	2
280	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_l2_ost_ssha_ver-c	2
281	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_an	2
282	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_tn	2
283	http://data.globalchange.gov/dataset/nasa-podaac-ostm_l2_gdr_ssha_d	2
284	http://data.globalchange.gov/dataset/nasa-podaac-seawinds_level_2b_amsr	2
285	http://data.globalchange.gov/dataset/nasa-podaac-seawinds_level_3_amsr	2
286	http://data.globalchange.gov/dataset/nasa-podaac-tellus_deg_5_coef	2
287	http://data.globalchange.gov/dataset/nasa-ornldaac-1269	2
288	http://data.globalchange.gov/dataset/nasa-ornldaac-1186	2
289	http://data.globalchange.gov/dataset/nasa-ornldaac-447	2
290	http://data.globalchange.gov/dataset/nasa-ornldaac-435	2
291	http://data.globalchange.gov/dataset/nasa-ornldaac-754	2
292	http://data.globalchange.gov/dataset/nasa-ornldaac-833	2
293	http://data.globalchange.gov/dataset/nasa-ornldaac-844	2
294	http://data.globalchange.gov/dataset/nasa-ornldaac-929	2
295	http://data.globalchange.gov/dataset/nasa-ornldaac-931	2
296	http://data.globalchange.gov/dataset/nasa-ornldaac-932	2
297	http://data.globalchange.gov/dataset/nasa-ornldaac-956	2
298	http://data.globalchange.gov/dataset/nasa-ornldaac-957	2
299	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0331	2
300	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0322	2
301	http://data.globalchange.gov/dataset/nsidc-0272	2
302	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0204	2
303	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0464	2
304	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0276	2
305	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0241	2
